num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2022S000012;01/01/2022;7:00:00;CALL. SILVANO, 71;71;16;HORTALEZA;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;De 18 a 30 años;Hombre;2;Ingreso inferior o igual a 24 horas;445501,939;4478914,358;S;NULL
2022S000012;01/01/2022;7:00:00;CALL. SILVANO, 71;71;16;HORTALEZA;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;445501,939;4478914,358;N;NULL
2022S000012;01/01/2022;7:00:00;CALL. SILVANO, 71;71;16;HORTALEZA;Choque contra obstáculo fijo;Despejado;Turismo;Pasajero;De 18 a 30 años;Hombre;14;Sin asistencia sanitaria;445501,939;4478914,358;N;NULL
2022S000012;01/01/2022;7:00:00;CALL. SILVANO, 71;71;16;HORTALEZA;Choque contra obstáculo fijo;Despejado;Turismo;Pasajero;De 18 a 30 años;Mujer;2;Ingreso inferior o igual a 24 horas;445501,939;4478914,358;N;NULL
2022S000012;01/01/2022;7:00:00;CALL. SILVANO, 71;71;16;HORTALEZA;Choque contra obstáculo fijo;Despejado;Turismo;Pasajero;De 18 a 30 años;Mujer;3;Ingreso superior a 24 horas;445501,939;4478914,358;N;NULL
2022S000012;01/01/2022;7:00:00;CALL. SILVANO, 71;71;16;HORTALEZA;Choque contra obstáculo fijo;Despejado;Turismo;Pasajero;De 18 a 30 años;Mujer;14;Sin asistencia sanitaria;445501,939;4478914,358;N;NULL
2022S000013;01/01/2022;8:10:00;AUTOV. M-30, +01100I;+01100I;2;ARGANZUELA;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;De 31 a 40 años;Hombre;NULL;NULL;442679,507;4471637,799;S;NULL
2022S000014;01/01/2022;7:45:00;CALL. DOCTOR CASTELO, 56;56;3;RETIRO;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 18 a 30 años;Mujer;NULL;NULL;442979,470;4474611,778;N;NULL
2022S000014;01/01/2022;7:45:00;CALL. DOCTOR CASTELO, 56;56;3;RETIRO;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 18 a 30 años;Mujer;NULL;NULL;442979,470;4474611,778;N;NULL
2022S000014;01/01/2022;7:45:00;CALL. DOCTOR CASTELO, 56;56;3;RETIRO;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 41 a 50 años;Mujer;NULL;NULL;442979,470;4474611,778;N;NULL
2022S000015;01/01/2022;7:25:00;AVDA. ENTREVIAS, 94;94;13;PUENTE DE VALLECAS;Alcance;Despejado;Turismo;Conductor;De 31 a 40 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;443634,572;4469942,483;N;NULL
2022S000015;01/01/2022;7:25:00;AVDA. ENTREVIAS, 94;94;13;PUENTE DE VALLECAS;Alcance;Despejado;Turismo;Conductor;De 31 a 40 años;Hombre;14;Sin asistencia sanitaria;443634,572;4469942,483;S;NULL
2022S000015;01/01/2022;7:25:00;AVDA. ENTREVIAS, 94;94;13;PUENTE DE VALLECAS;Alcance;Despejado;Turismo;Pasajero;De 31 a 40 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;443634,572;4469942,483;N;NULL
2022S000016;01/01/2022;14:40:00;CALL. ALGORTA / CALL. GENERAL RICARDOS;1;11;CARABANCHEL;Choque contra obstáculo fijo;Despejado;Furgoneta;Conductor;De 51 a 60 años;Hombre;NULL;NULL;438254,701;4471474,359;S;NULL
2022S000016;01/01/2022;14:40:00;CALL. ALGORTA / CALL. GENERAL RICARDOS;1;11;CARABANCHEL;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;438254,701;4471474,359;N;NULL
2022S000018;01/01/2022;9:00:00;AUTOV. M-30, +01100I PTO KM. 11,300 INTERIOR;+01100I;2;ARGANZUELA;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 41 a 50 años;Hombre;14;Sin asistencia sanitaria;442366,272;4471296,603;N;NULL
2022S000018;01/01/2022;9:00:00;AUTOV. M-30, +01100I PTO KM. 11,300 INTERIOR;+01100I;2;ARGANZUELA;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 41 a 50 años;Mujer;1;Atención en urgencias sin posterior ingreso;442366,272;4471296,603;N;NULL
2022S000019;01/01/2022;15:10:00;CALL. SINESIO DELGADO / CALL. RIBADAVIA;1;6;TETUÁN;Alcance;Despejado;Turismo;Conductor;De 31 a 40 años;Mujer;14;Sin asistencia sanitaria;440377,332;4480447,109;N;NULL
2022S000019;01/01/2022;15:10:00;CALL. SINESIO DELGADO / CALL. RIBADAVIA;1;6;TETUÁN;Alcance;Despejado;Turismo;Conductor;Más de 71 años;Hombre;1;Atención en urgencias sin posterior ingreso;440377,332;4480447,109;N;NULL
2022S000019;01/01/2022;15:10:00;CALL. SINESIO DELGADO / CALL. RIBADAVIA;1;6;TETUÁN;Alcance;Despejado;Turismo;Pasajero;De 31 a 40 años;Hombre;14;Sin asistencia sanitaria;440377,332;4480447,109;N;NULL
2022S000019;01/01/2022;15:10:00;CALL. SINESIO DELGADO / CALL. RIBADAVIA;1;6;TETUÁN;Alcance;Despejado;Turismo;Pasajero;De 61 a 70 años;Mujer;1;Atención en urgencias sin posterior ingreso;440377,332;4480447,109;N;NULL
2022S000020;01/01/2022;16:15:00;CALL. LOS URQUIZA, 3;3;15;CIUDAD LINEAL;Choque contra obstáculo fijo;Despejado;Camión rígido;Conductor;De 51 a 60 años;Hombre;NULL;NULL;445200,820;4476098,021;N;NULL
2022S000020;01/01/2022;16:15:00;CALL. LOS URQUIZA, 3;3;15;CIUDAD LINEAL;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;Más de 71 años;Hombre;NULL;NULL;445200,820;4476098,021;N;NULL
2022S000021;01/01/2022;15:55:00;CALL. SANTA RAFAELA MARIA DEL SAGRADO CORAZON, 9;9;13;PUENTE DE VALLECAS;Alcance;Despejado;Motocicleta hasta 125cc;Conductor;De 18 a 30 años;Hombre;NULL;NULL;442909,231;4470042,450;N;NULL
2022S000021;01/01/2022;15:55:00;CALL. SANTA RAFAELA MARIA DEL SAGRADO CORAZON, 9;9;13;PUENTE DE VALLECAS;Alcance;Despejado;Motocicleta hasta 125cc;Conductor;De 31 a 40 años;Hombre;NULL;NULL;442909,231;4470042,450;N;NULL
2022S000022;01/01/2022;15:25:00;CALL. ARTURO SORIA / CALL. AÑASTRO;251;15;CIUDAD LINEAL;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 18 a 30 años;Hombre;14;Sin asistencia sanitaria;443520,641;4479823,287;N;NULL
2022S000022;01/01/2022;15:25:00;CALL. ARTURO SORIA / CALL. AÑASTRO;251;15;CIUDAD LINEAL;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 51 a 60 años;Hombre;14;Sin asistencia sanitaria;443520,641;4479823,287;N;NULL
2022S000022;01/01/2022;15:25:00;CALL. ARTURO SORIA / CALL. AÑASTRO;251;15;CIUDAD LINEAL;Colisión fronto-lateral;Despejado;Turismo;Pasajero;De 51 a 60 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;443520,641;4479823,287;N;NULL
2022S000023;01/01/2022;16:30:00;AVDA. OROVILLA / AVDA. FELICIDAD;40;17;VILLAVERDE;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;De 18 a 30 años;Mujer;14;Sin asistencia sanitaria;441469,404;4467854,822;N;NULL
2022S000024;01/01/2022;19:15:00;CALL. AMPARO USERA, 19;19;12;USERA;Choque contra obstáculo fijo;NULL;Turismo;Conductor;De 41 a 50 años;Hombre;NULL;NULL;440398,545;4471040,352;S;NULL
2022S000024;01/01/2022;19:15:00;CALL. AMPARO USERA, 19;19;12;USERA;Choque contra obstáculo fijo;NULL;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;440398,545;4471040,352;N;NULL
2022S000026;01/01/2022;18:37:00;AVDA. PALOMERAS / AVDA. PABLO NERUDA;170;13;PUENTE DE VALLECAS;Atropello a persona;Despejado;Turismo;Conductor;De 51 a 60 años;Mujer;14;Sin asistencia sanitaria;445064,062;4470686,390;N;NULL
2022S000026;01/01/2022;18:37:00;AVDA. PALOMERAS / AVDA. PABLO NERUDA;170;13;PUENTE DE VALLECAS;Atropello a persona;Despejado;Turismo;Pasajero;De 18 a 30 años;Mujer;14;Sin asistencia sanitaria;445064,062;4470686,390;N;NULL
2022S000026;01/01/2022;18:37:00;AVDA. PALOMERAS / AVDA. PABLO NERUDA;170;13;PUENTE DE VALLECAS;Atropello a persona;Despejado;Turismo;Peatón;Hasta 17 años;Mujer;1;Atención en urgencias sin posterior ingreso;445064,062;4470686,390;N;NULL
2022S000027;01/01/2022;20:19:00;CALL. LOS YEBENES, 141;141;10;LATINA;Caída;Despejado;Motocicleta hasta 125cc;Conductor;De 31 a 40 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;436225,497;4471493,969;S;NULL
2022S000028;02/01/2022;16:35:00;CALL. MARCELO USERA, 120;120;12;USERA;Choque contra obstáculo fijo;NULL;Turismo;Conductor;De 51 a 60 años;Hombre;NULL;NULL;439779,121;4470779,982;S;NULL
2022S000028;02/01/2022;16:35:00;CALL. MARCELO USERA, 120;120;12;USERA;Choque contra obstáculo fijo;NULL;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;439779,121;4470779,982;N;NULL
2022S000029;01/01/2022;6:25:00;AVDA. FILIPINAS, 50;50;7;CHAMBERÍ;Alcance;Despejado;Todo terreno;Conductor;Desconocido;Desconocido;NULL;NULL;440125,250;4477019,370;N;NULL
2022S000029;01/01/2022;6:25:00;AVDA. FILIPINAS, 50;50;7;CHAMBERÍ;Alcance;Despejado;Turismo;Conductor;De 31 a 40 años;Hombre;14;Sin asistencia sanitaria;440125,250;4477019,370;N;NULL
2022S000029;01/01/2022;6:25:00;AVDA. FILIPINAS, 50;50;7;CHAMBERÍ;Alcance;Despejado;Turismo;Pasajero;De 31 a 40 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;440125,250;4477019,370;N;NULL
2022S000029;01/01/2022;6:25:00;AVDA. FILIPINAS, 50;50;7;CHAMBERÍ;Alcance;Despejado;Turismo;Pasajero;De 31 a 40 años;Mujer;14;Sin asistencia sanitaria;440125,250;4477019,370;N;NULL
2022S000030;01/01/2022;21:30:00;CALL. ALCALA, 614;614;20;SAN BLAS-CANILLEJAS;Colisión lateral;Despejado;Todo terreno;Conductor;De 31 a 40 años;Hombre;NULL;NULL;448229,975;4477634,669;N;NULL
2022S000030;01/01/2022;21:30:00;CALL. ALCALA, 614;614;20;SAN BLAS-CANILLEJAS;Colisión lateral;Despejado;Todo terreno;Pasajero;De 18 a 30 años;Mujer;NULL;NULL;448229,975;4477634,669;N;NULL
2022S000030;01/01/2022;21:30:00;CALL. ALCALA, 614;614;20;SAN BLAS-CANILLEJAS;Colisión lateral;Despejado;Turismo;Conductor;De 41 a 50 años;Hombre;NULL;NULL;448229,975;4477634,669;S;NULL
2022S000031;02/01/2022;0:55:00;CALL. CANAPIARE, 8;8;16;HORTALEZA;Choque contra obstáculo fijo;Despejado;Motocicleta > 125cc;Conductor;Desconocido;Desconocido;NULL;NULL;446361,202;4480136,889;N;NULL
2022S000031;02/01/2022;0:55:00;CALL. CANAPIARE, 8;8;16;HORTALEZA;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;446361,202;4480136,889;N;NULL
2022S000031;02/01/2022;0:55:00;CALL. CANAPIARE, 8;8;16;HORTALEZA;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;446361,202;4480136,889;N;NULL
2022S000032;02/01/2022;1:00:00;CALL. VADO / AUTOV. M-30;1;12;USERA;Choque contra obstáculo fijo;Despejado;Furgoneta;Conductor;De 31 a 40 años;Hombre;NULL;NULL;440991,275;4470831,560;S;NULL
2022S000034;02/01/2022;0:05:00;CALL. MARIA TERESA SAENZ DE HEREDIA, 6;6;15;CIUDAD LINEAL;Caída;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 18 a 30 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;444462,918;4474808,752;S;NULL
2022S000035;02/01/2022;6:50:00;PLAZA. DOCTOR MARAÑON / CALL. JOSE ABASCAL;0;4;SALAMANCA;Alcance;Despejado;Turismo;Conductor;De 18 a 30 años;Hombre;NULL;NULL;441413,892;4476593,486;N;NULL
2022S000035;02/01/2022;6:50:00;PLAZA. DOCTOR MARAÑON / CALL. JOSE ABASCAL;0;4;SALAMANCA;Alcance;Despejado;Turismo;Conductor;De 41 a 50 años;Hombre;NULL;NULL;441413,892;4476593,486;N;NULL
2022S000037;01/01/2022;12:10:00;CALL. HORNO DE LABRADORES, 22;22;19;VICÁLVARO;Choque contra obstáculo fijo;NULL;Motocicleta hasta 125cc;Conductor;Desconocido;Desconocido;NULL;NULL;448699,566;4472508,459;N;NULL
2022S000037;01/01/2022;12:10:00;CALL. HORNO DE LABRADORES, 22;22;19;VICÁLVARO;Choque contra obstáculo fijo;NULL;Turismo;Conductor;De 61 a 70 años;Hombre;NULL;NULL;448699,566;4472508,459;N;NULL
2022S000044;01/01/2022;12:10:00;CALL. ALONSO CANO, 33;33;7;CHAMBERÍ;Choque contra obstáculo fijo;NULL;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;440822,616;4476664,394;N;NULL
2022S000044;01/01/2022;12:10:00;CALL. ALONSO CANO, 33;33;7;CHAMBERÍ;Choque contra obstáculo fijo;NULL;VMU eléctrico;Conductor;De 18 a 30 años;Hombre;NULL;NULL;440822,616;4476664,394;N;NULL
2022S000045;01/01/2022;11:55:00;CMNO. GANAPANES / CALL. VALLE DE MENA;25;8;FUENCARRAL-EL PARDO;Alcance;Despejado;Turismo;Conductor;De 41 a 50 años;Hombre;NULL;NULL;439441,654;4480146,737;N;NULL
2022S000045;01/01/2022;11:55:00;CMNO. GANAPANES / CALL. VALLE DE MENA;25;8;FUENCARRAL-EL PARDO;Alcance;Despejado;Turismo;Conductor;De 51 a 60 años;Hombre;NULL;NULL;439441,654;4480146,737;N;NULL
2022S000046;02/01/2022;10:15:00;CALL. SICELIDAS, 6;6;16;HORTALEZA;Choque contra obstáculo fijo;NULL;Turismo;Conductor;De 18 a 30 años;Hombre;NULL;NULL;446028,570;4479393,754;S;NULL
2022S000046;02/01/2022;10:15:00;CALL. SICELIDAS, 6;6;16;HORTALEZA;Choque contra obstáculo fijo;NULL;Turismo;Pasajero;De 18 a 30 años;Hombre;NULL;NULL;446028,570;4479393,754;N;NULL
2022S000048;02/01/2022;12:10:00;AVDA. MEDITERRANEO / A3  KM 7 vía de servicio;2;3;RETIRO;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;De 31 a 40 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;446664,781;4471438,923;S;NULL
2022S000048;02/01/2022;12:10:00;AVDA. MEDITERRANEO / A3  KM 7 vía de servicio;2;3;RETIRO;Choque contra obstáculo fijo;Despejado;Turismo;Pasajero;De 18 a 30 años;Mujer;2;Ingreso inferior o igual a 24 horas;446664,781;4471438,923;N;NULL
2022S000048;02/01/2022;12:10:00;AVDA. MEDITERRANEO / A3  KM 7 vía de servicio;2;3;RETIRO;Choque contra obstáculo fijo;Despejado;Turismo;Pasajero;De 31 a 40 años;Hombre;2;Ingreso inferior o igual a 24 horas;446664,781;4471438,923;N;NULL
2022S000049;01/01/2022;7:10:00;AUTOV. M-30, +00900E, 09XC;+00900E;14;MORATALAZ;Alcance;Despejado;Turismo;Conductor;De 18 a 30 años;Mujer;NULL;NULL;443429,899;4472683,605;N;NULL
2022S000049;01/01/2022;7:10:00;AUTOV. M-30, +00900E, 09XC;+00900E;14;MORATALAZ;Alcance;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;443429,899;4472683,605;N;NULL
2022S000049;01/01/2022;7:10:00;AUTOV. M-30, +00900E, 09XC;+00900E;14;MORATALAZ;Alcance;Despejado;Turismo;Pasajero;De 18 a 30 años;Hombre;NULL;NULL;443429,899;4472683,605;N;NULL
2022S000049;01/01/2022;7:10:00;AUTOV. M-30, +00900E, 09XC;+00900E;14;MORATALAZ;Alcance;Despejado;Turismo;Pasajero;De 18 a 30 años;Hombre;NULL;NULL;443429,899;4472683,605;N;NULL
2022S000049;01/01/2022;7:10:00;AUTOV. M-30, +00900E, 09XC;+00900E;14;MORATALAZ;Alcance;Despejado;Turismo;Pasajero;De 18 a 30 años;Mujer;NULL;NULL;443429,899;4472683,605;N;NULL
2022S000049;01/01/2022;7:10:00;AUTOV. M-30, +00900E, 09XC;+00900E;14;MORATALAZ;Alcance;Despejado;Turismo;Pasajero;De 31 a 40 años;Mujer;NULL;NULL;443429,899;4472683,605;N;NULL
2022S000050;02/01/2022;13:40:00;CALL. SANTA CLARA, 8;8;1;CENTRO;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;De 31 a 40 años;Hombre;NULL;NULL;439694,979;4474325,456;N;NULL
2022S000050;02/01/2022;13:40:00;CALL. SANTA CLARA, 8;8;1;CENTRO;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;De 61 a 70 años;Hombre;NULL;NULL;439694,979;4474325,456;N;NULL
2022S000051;02/01/2022;12:55:00;AVDA. NICETO ALCALA ZAMORA / AUTOV. M-11;4;16;HORTALEZA;Atropello a persona;Despejado;Turismo;Conductor;De 31 a 40 años;Mujer;14;Sin asistencia sanitaria;444941,568;4481451,291;N;NULL
2022S000051;02/01/2022;12:55:00;AVDA. NICETO ALCALA ZAMORA / AUTOV. M-11;4;16;HORTALEZA;Atropello a persona;Despejado;Turismo;Peatón;Hasta 17 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;444941,568;4481451,291;N;NULL
2022S000052;02/01/2022;14:50:00;AVDA. ANDALUCIA / CALL. UNANIMIDAD;60;17;VILLAVERDE;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;Más de 71 años;Hombre;4;Fallecido 24 horas;441122,206;4468124,103;N;NULL
2022S000052;02/01/2022;14:50:00;AVDA. ANDALUCIA / CALL. UNANIMIDAD;60;17;VILLAVERDE;Choque contra obstáculo fijo;Despejado;Turismo;Pasajero;De 61 a 70 años;Mujer;14;Sin asistencia sanitaria;441122,206;4468124,103;N;NULL
2022S000053;01/01/2022;21:30:00;AVDA. ALBUFERA, 173;173;13;PUENTE DE VALLECAS;Alcance;NULL;Turismo;Conductor;De 18 a 30 años;Hombre;NULL;NULL;444406,959;4471437,376;N;NULL
2022S000053;01/01/2022;21:30:00;AVDA. ALBUFERA, 173;173;13;PUENTE DE VALLECAS;Alcance;NULL;Turismo;Conductor;De 31 a 40 años;Hombre;NULL;NULL;444406,959;4471437,376;N;NULL
2022S000055;02/01/2022;16:25:00;CALL. BOLA / CALL. TORIJA;1;1;CENTRO;Colisión fronto-lateral;NULL;Maquinaria de obras;Conductor;De 51 a 60 años;Hombre;NULL;NULL;439821,249;4474693,460;N;NULL
2022S000055;02/01/2022;16:25:00;CALL. BOLA / CALL. TORIJA;1;1;CENTRO;Colisión fronto-lateral;NULL;Turismo;Conductor;De 41 a 50 años;Mujer;NULL;NULL;439821,249;4474693,460;N;NULL
2022S000056;02/01/2022;13:25:00;CUSTA. SAN VICENTE / SUBTERRÁNEO;1;1;CENTRO;Colisión lateral;NULL;Motocicleta hasta 125cc;Conductor;Desconocido;Desconocido;NULL;NULL;439291,933;4474652,638;N;NULL
2022S000056;02/01/2022;13:25:00;CUSTA. SAN VICENTE / SUBTERRÁNEO;1;1;CENTRO;Colisión lateral;NULL;Turismo;Conductor;De 41 a 50 años;Hombre;NULL;NULL;439291,933;4474652,638;N;NULL
2022S000057;02/01/2022;17:15:00;CALL. ALTO DEL RETIRO, 1;1;18;VILLA DE VALLECAS;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 31 a 40 años;Mujer;NULL;NULL;449048,889;4468932,280;N;NULL
2022S000057;02/01/2022;17:15:00;CALL. ALTO DEL RETIRO, 1;1;18;VILLA DE VALLECAS;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 31 a 40 años;Mujer;NULL;NULL;449048,889;4468932,280;N;NULL
2022S000059;02/01/2022;15:08:00;AVDA. MEDITERRANEO, 3;3;3;RETIRO;Caída;NULL;Ciclomotor;Conductor;De 18 a 30 años;Hombre;NULL;NULL;442472,001;4473211,877;N;NULL
2022S000060;02/01/2022;16:30:00;AUTOV. M-30, +02900I;+02900I;8;FUENCARRAL-EL PARDO;Colisión lateral;Despejado;Furgoneta;Conductor;De 18 a 30 años;Hombre;14;Sin asistencia sanitaria;440206,436;4481478,003;N;NULL
2022S000060;02/01/2022;16:30:00;AUTOV. M-30, +02900I;+02900I;8;FUENCARRAL-EL PARDO;Colisión lateral;Despejado;Turismo;Conductor;De 31 a 40 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;440206,436;4481478,003;N;NULL
2022S000061;02/01/2022;17:45:00;CALL. AGUACATE, 47;47;11;CARABANCHEL;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 31 a 40 años;Hombre;NULL;NULL;437057,385;4468854,624;N;NULL
2022S000061;02/01/2022;17:45:00;CALL. AGUACATE, 47;47;11;CARABANCHEL;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 51 a 60 años;Mujer;NULL;NULL;437057,385;4468854,624;N;NULL
2022S000062;02/01/2022;18:40:00;CALL. TORRECILLA DEL PUERTO, 3;3;15;CIUDAD LINEAL;Choque contra obstáculo fijo;NULL;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;444846,800;4477981,501;N;NULL
